Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer,1,buzzer,
"C1, C2",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,0.01uF,
"C10, C11, C12, C13, C9",officialCAP,5,1000uF,
"C14, C3",C_Radial_D8.0mm_H11.5mm_P3.50mm,2,100uF,
"C15, C4",C_Radial_D10.0mm_H12.5mm_P5.00mm,2,470uF,
"C5, C6",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,22pF,
"C7, C8",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,0.1uF,
"D1, D43",D_DO-201AD_P15.24mm_Horizontal,2,1N5822,
"D10, D25, D26, D27, D28, D4, D9",D_DO-201AD_P15.24mm_Horizontal,7,1N5408,
"D11, D12, D13, D14, D16, D17, D2, D29, D30, D31, D32, D33, D35, D36, D38, D39, D44",DIOAD4425W130L885D885,17,6A10,
"D15, D18, D34, D37, D40, D41",TO546P530X1586X2594-3P,6,CLA50E1200HB,
"D19, D20, D21, D5, D6",QED234,5,IR LED,151033RS03000
"D22, D23, D24, D42, D7, D8",LED_D5.0mm,6,5mm LED,151033RS03000
D3,LED_D5.0mm,1,White LED,151033RS03000
J1,128x64OLED,1,SSD1306,
"J10, J11, J12, J15, J2, J8, J9",1x1 2.54mm header,7,~,
J16,1x3 2.54mm header,1,Conn_01x03_MountingPin,
"J3, J5",PinHeader_1x02_P2.54mm_Vertical,2,Shunt,
J4,1x2 2.54mm header,1,Conn_01x03_MountingPin,
"J6, J7",1x14 2.54mm header,2,Conn_01x14_MountingPin,
K1,5v relay,1,5V relay,
"L1, L7",Inductor,2,100uH,
"L2, L3, L4, L5, L6",Coil Socket,5,100uH,
L8,solenoid_WIRED,1,Solenoid,
"Q1, Q11, Q2, Q5, Q6, Q7",P2N2222A,6,2N2222,
"Q10, Q3, Q4, Q8, Q9",PT3346B,5,PT334-6B,
Q12,P2N2222A,1,BC639,
"R1, R12, R13, R17, R2, R28, R29, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,10kΩ,
"R10, R16, R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,270Ω,
"R11, R20, R21, R22, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,390Ω,
"R14, R15, R31, R32, R33, R36, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,7,2k2Ω,
"R23, R24, R25, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,1k2Ω,
R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,900Ω,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47Ω,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,910kΩ,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k0Ω,
R35,200W Resistor,1,200W 1k0Ω,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k0Ω,
RV1,potentiometer,1,1MΩ Pot,
RV2,potentiometerOFFBOARD,1,10kΩ Pot,
SW1,SW_PUSH_6mm,1,Pushbutton,
SW2,microswitch,1,SPDT Microswitch,
SW3,button_or_keyswitch,1,N/C Pushbutton,
SW4,button_or_keyswitch,1,SPST Switch,
"U1, U9",TO170P483X1016X1611-5P,2,LM2576T-5,
U10,UGN3503UA,1,UGN3503UA,
U2,DIP-8_W7.62mm,1,NE555P,
"U3, U5, U6, U7, U8",DIP-6_W7.62mm,5,4N28,
U4,DIP-28_W7.62mm,1,ATmega328P-PU,
V1,20Vin,1,20V Vin,
V2,405Vin,1,405V Boost Converter,
V3,9V Battery Holder,1,9V Battery,
Y1,Crystal_HC49-U_Vertical,1,20MHz,
